location_id,location_zip_code,location_city,location_state,,
1,13023,campinas,SP,,13023|campinas|SP
2,13844,mogi guacu,SP,,13844|mogi guacu|SP
3,20031,rio de janeiro,RJ,,20031|rio de janeiro|RJ
4,04195,sao paulo,SP,,04195|sao paulo|SP
5,12914,braganca paulista,SP,,12914|braganca paulista|SP
6,20920,rio de janeiro,RJ,,20920|rio de janeiro|RJ
7,55325,brejao,PE,,55325|brejao|PE
8,16304,penapolis,SP,,16304|penapolis|SP
9,01529,sao paulo,SP,,01529|sao paulo|SP
10,80310,curitiba,PR,,80310|curitiba|PR
11,75110,anapolis,GO,,75110|anapolis|GO
12,13530,itirapina,SP,,13530|itirapina|SP
13,01222,sao paulo,SP,,01222|sao paulo|SP
14,05372,sao paulo,SP,,05372|sao paulo|SP
15,88705,tubarao,SC,,88705|tubarao|SC
16,42738,lauro de freitas,BA,,42738|lauro de freitas|BA
17,88780,imbituba,SC,,88780|imbituba|SC
18,70740,brasilia,DF,,70740|brasilia|DF
19,45810,porto seguro,BA,,45810|porto seguro|BA
20,05138,sao paulo,SP,,05138|sao paulo|SP
21,11440,guaruja,SP,,11440|guaruja|SP
22,14910,tabatinga,SP,,14910|tabatinga|SP
23,04156,sao paulo,SP,,04156|sao paulo|SP
24,13320,salto,SP,,13320|salto|SP
25,98910,tres de maio,RS,,98910|tres de maio|RS
26,30494,belo horizonte,MG,,30494|belo horizonte|MG
27,86707,arapongas,PR,,86707|arapongas|PR
28,09850,sao bernardo do campo,SP,,09850|sao bernardo do campo|SP
29,04857,sao paulo,SP,,04857|sao paulo|SP
30,18500,tatui,SP,,18500|tatui|SP
31,80210,curitiba,PR,,80210|curitiba|PR
32,02261,sao paulo,SP,,02261|sao paulo|SP
33,88495,garopaba,SC,,88495|garopaba|SC
34,03562,sao paulo,SP,,03562|sao paulo|SP
35,37650,camanducaia,MG,,37650|camanducaia|MG
36,17602,tupa,SP,,17602|tupa|SP
37,07241,guarulhos,SP,,07241|guarulhos|SP
